wals code,name,latitude,longitude,genus,family,subfamily,iso codes
bus,Busa,9.66666666667,4.0,Eastern Mande,Niger-Congo,Mande,bqp
but,Buriat,52.0,108.0,Mongolic,Altaic,,bxm
buu,Buru,-3.5,126.5,Central Malayo-Polynesian,Austronesian,,mhs
buw,Bulu,3.0,11.0,Bantoid,Niger-Congo,Benue-Congo,bum
buy,Buli (in Ghana),10.5,-1.25,Gur,Niger-Congo,,bwu
bvi,Bali-Vitu,-4.9,149.116666667,Oceanic,Austronesian,Eastern Malayo-Polynesian,wiv bbn
bwa,Bandjalang (Waalubal),-29.0833333333,152.583333333,Pama-Nyungan,Australian,,bdy
bwc,Bajau (West Coast),6.33333333333,116.333333333,Sama-Bajaw,Austronesian,,bdr
bxj,Bayungu,-23.0,114.0,Pama-Nyungan,Australian,,bxj
bya,Byansi,30.1666666667,80.5,Bodic,Sino-Tibetan,Tibeto-Burman,bee
bys,Bayso,6.25,37.75,Eastern Cushitic,Afro-Asiatic,Cushitic,bsw
byu,Bandjalang (Yugumbir),-27.9166666667,153.0,Pama-Nyungan,Australian,,bdy
bzi,Bauzi,-2.5,137.5,East Geelvink Bay,East Geelvink Bay,,bvz
cab,Cabécar,9.75,-83.4166666667,Talamanca,Chibchan,,cjp
cac,Cacua,1.08333333333,-70.0,Cacua-Nukak,Cacua-Nukak,,cbv
cad,Caddo,33.3333333333,-93.5,Caddoan,Caddoan,,cad
cah,Cahuilla,33.5,-116.25,Takic,Uto-Aztecan,,chl
cai,Chai,5.33333333333,35.3333333333,Surmic,Nilo-Saharan,Eastern Sudanic,suq
cak,Cakchiquel,14.5,-91.0,Mayan,Mayan,,ckf
cam,Camsá,1.16666666667,-77.0,Camsá,Camsá,,kbh
can,Candoshi,-4.16666666667,-77.0,Candoshi,Candoshi,,cbu
cap,Capanahua,-7.0,-74.0,Panoan,Panoan,,kaq
car,Carib,5.5,-56.0,Cariban,Cariban,,car
cas,Cashibo,-8.5,-75.5,Panoan,Panoan,,cbr
cat,Catio,7.16666666667,-76.3333333333,Choco,Choco,,cto
cav,Cavineña,-13.3333333333,-66.5,Tacanan,Tacanan,,cav
cax,Campa (Axininca),-12.0,-74.0,Arawakan,Arawakan,,cni
cay,Cayapa,0.666666666667,-79.0,Barbacoan,Barbacoan,,cbi
cba,Chumash (Barbareño),34.5,-120.25,Chumash,Chumash,,boi
cbo,Chácobo,-12.1666666667,-66.75,Panoan,Panoan,,cao
cch,Chocho,17.6666666667,-97.4166666667,Popolocan,Oto-Manguean,,coz
cck,Chickasaw,34.0,-88.0,Muskogean,Muskogean,,cic
ccm,Chinantec (Comaltepec),17.5833333333,-96.4166666667,Chinantecan,Oto-Manguean,,cco
cco,Chasta Costa,42.6666666667,-124.0,Athapaskan,Na-Dene,,
ccp,Cocopa,32.3333333333,-115.0,Yuman,Hokan,,coc
